3.56457 6.49784 4.05052 4.46987 20 20 12.5755 5.64011 6.21073 9.07897 3.95303 1.35961 5.70231 7.30762 9.86743 7.85698 5.69509 6.83248 7.94075 12.5755 4.55916 5.09223 5.87721 1.4992 1.5257 1.65966 10.0906 20 
3.92488 4.08203 5.30938 6.23107 20 20 10.9406 5.01902 4.92933 10.9406 4.71209 0.434297 4.92688 8.16801 6.81346 6.45196 4.77518 7.22702 6.17842 20 6.33543 7.6825 5.8226 2.36381 2.18407 2.964 6.91525 20 
2.91855 4.48761 5.4212 2.77422 20 20 8.02725 4.34065 4.46003 20 3.75058 1.35411 5.4623 4.36696 5.36509 5.37273 3.23946 4.3935 5.61949 11.3414 2.90048 8.08334 3.07424 7.17477 1.15437 2.78291 7.64013 20 
1.98196 6.87085 6.31602 2.42609 12.6669 20 12.6669 4.29428 8.18957 12.6669 4.13561 5.04915 7.14945 7.95738 9.40881 8.52377 7.12564 6.61953 10.102 9.77653 2.56925 8.40423 5.06951 5.09492 0.46237 4.42731 11.0575 20 
5.16479 20 20 4.06617 1.58127 20 20 20 20 20 20 3.77849 20 20 20 20 20 5.16479 20 20 20 20 5.16479 5.16479 4.47164 0.328504 20 20 
20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 
3.11352 3.51898 20 20 20 20 20 3.98898 3.11352 20 3.80666 0.827737 4.90527 4.90527 2.95936 5.59842 4.21213 20 4.90527 20 5.59842 20 4.49981 20 1.24171 4.90527 20 20 
4.76931 6.85576 3.91802 3.74947 10.0198 20 11.1184 5.38187 6.58585 7.00757 4.95303 2.83546 4.53227 6.62981 9.17253 7.42957 6.23564 6.57515 8.72055 20 4.0938 7.75115 5.42135 1.46105 2.39619 0.666605 10.4253 20 
3.97102 3.73332 3.99551 3.68458 20 20 9.83251 5.77639 1.99852 8.44622 2.85337 1.18623 3.76467 6.43969 7.52993 5.63156 4.46537 4.95732 5.70538 20 3.70401 8.04076 4.90164 3.06748 1.76584 2.19987 8.22308 20 
3.14878 6.40688 4.30004 1.7561 20 20 20 3.38917 7.21781 7.91096 4.50976 3.7213 5.77089 7.50549 20 4.47697 20 4.8429 20 7.91096 2.29601 6.1192 4.47697 2.12713 1.06242 2.33501 20 20 
3.26908 5.51581 6.20246 4.83201 20 20 10.8864 5.6447 5.98265 11.8027 2.72439 1.71734 5.20219 7.7954 9.60551 7.23319 5.16942 6.36249 6.15906 12.4959 5.04755 0.648774 6.78215 4.28007 2.76052 2.61761 8.68922 20 
3.65426 5.30066 3.33546 2.93793 12.1821 20 11.6225 5.01812 5.13238 5.75578 4.00361 1.69742 3.41383 3.7884 7.34777 6.39096 5.64483 5.22101 7.24311 10.1026 3.56866 8.22843 5.05438 2.38303 1.59035 1.32888 8.78505 20 
3.90325 6.03711 4.82043 2.68089 20 20 20 4.62759 5.99659 10.2343 3.1929 2.64144 5.41403 6.41112 8.03709 6.90211 4.92604 6.80032 7.50973 9.42338 3.62429 5.99659 4.45743 2.18233 1.35449 1.05518 9.22271 20 
4.65439 5.65589 3.72697 3.06096 20 20 20 5.22695 7.95113 8.19897 4.42405 1.78274 5.94112 3.26742 7.95113 6.08121 5.77306 3.45322 8.29741 10.5661 2.71833 9.09975 4.96151 2.79488 1.4516 1.26205 10.5661 20 
4.77338 3.09391 3.7834 3.43349 20 20 20 5.66068 3.61146 20 3.8809 1.29668 4.7116 5.09429 4.88202 6.72421 1.66598 4.08515 7.38345 20 2.94394 9.39835 5.17152 3.05272 1.94334 2.43753 10.0915 20 
3.46578 4.82662 4.53498 2.94389 10.0684 20 10.0684 4.63902 5.30619 20 3.26597 1.25552 4.88658 6.63438 10.0684 5.10552 5.12672 6.06103 6.43078 8.45893 4.38139 8.12246 4.33502 2.22373 1.41717 1.84662 8.45893 20 
4.03801 4.77105 4.01238 3.65874 20 20 10.985 5.10259 3.84771 10.6973 3.60994 0.987554 4.00429 5.58985 5.04745 4.87352 2.77152 2.95501 3.73672 12.0836 3.7112 8.61786 4.62599 2.65212 2.03424 2.38333 7.45863 20 
4.38799 6.23238 5.13637 3.06282 20 20 20 5.87766 5.23942 10.6789 3.72526 1.96006 3.15492 5.37398 6.55181 6.27222 4.05444 1.48098 6.47924 20 2.52531 8.34357 4.16324 3.01116 1.86546 1.81448 8.55868 20 
4.54288 4.5665 4.32364 4.08807 20 20 10.092 5.55936 4.64092 7.78937 3.49481 0.714493 4.76408 7.25874 6.14071 6.50844 4.84493 5.61462 4.53128 20 4.24841 8.70566 5.53808 3.15173 2.55134 1.43744 5.69751 20 
3.66099 20 5.96358 3.66099 20 20 20 5.96358 20 20 3.47867 2.32599 20 20 20 20 5.96358 20 20 3.39863 5.96358 20 5.27043 1.56913 1.64609 0.993766 20 20 
3.25579 4.21103 8.6115 4.10582 20 20 9.86427 4.58143 3.62357 20 2.94847 1.22416 4.60863 3.7715 4.05398 4.05741 2.23232 2.68164 5.12307 9.79527 4.38184 7.56168 2.29081 6.81297 1.80682 4.07038 7.36753 20 
2.89332 4.15737 5.35535 3.70627 20 20 10.3485 4.61257 4.36709 10.012 3.54012 1.07119 2.98929 6.0099 7.18725 6.04714 4.64405 5.50117 5.84647 10.012 4.13269 6.69525 5.29608 2.98954 2.04931 1.46578 7.57591 20 
